model_label,arm,prompt_strategy,response_selection,self_consistency_k,examples,correct,accuracy,errors,generation_max_tokens,generation_samples,generation_cap_bindings,generation_cap_binding_rate,examples_with_any_cap_binding,example_cap_binding_rate,accuracy_with_cap_binding,accuracy_without_cap_binding,selection_max_tokens,selection_samples,selection_cap_bindings,selection_cap_binding_rate,mean_total_completion_tokens,p95_total_completion_tokens,final_answer_marker_rate
E2B,answer_type_router,answer_type_router,majority_vote,1,2990,642,0.21471571906354514,0,128,2990,304,0.10167224080267559,304,0.10167224080267559,0.0,0.23901712583767684,64,0,0,0.0,17.942140468227425,128.0,0.004347826086956522
E2B,canonical_short,canonical_short,majority_vote,1,2990,805,0.2692307692307692,0,96,2990,470,0.15719063545150502,470,0.15719063545150502,0.002127659574468085,0.319047619047619,64,0,0,0.0,19.540133779264213,96.0,0.0
E2B,careful_direct,careful_direct,majority_vote,1,2990,621,0.2076923076923077,0,128,2990,745,0.2491638795986622,745,0.2491638795986622,0.0,0.27661469933184857,64,0,0,0.0,35.8123745819398,128.0,0.0
E2B,chain_of_draft,chain_of_draft,majority_vote,1,2990,551,0.1842809364548495,0,192,2990,2115,0.7073578595317725,2115,0.7073578595317725,0.0028368794326241137,0.6228571428571429,64,0,0,0.0,168.41839464882943,192.0,0.2983277591973244
E2B,compare_then_commit,compare_then_commit,majority_vote,1,2990,651,0.2177257525083612,0,128,2990,384,0.12842809364548494,384,0.12842809364548494,0.0,0.24980813507290867,64,0,0,0.0,20.768227424749163,128.0,0.0006688963210702341
E2B,concise_cot,concise_cot,majority_vote,1,2990,538,0.17993311036789297,0,256,2990,2140,0.7157190635451505,2140,0.7157190635451505,0.005607476635514018,0.6188235294117647,64,0,0,0.0,226.27090301003344,256.0,0.2973244147157191
E2B,concise_cot_sc_k3,concise_cot,majority_vote,3,2990,564,0.18862876254180602,0,256,8970,6408,0.7143812709030101,2312,0.7732441471571906,0.05839100346020761,0.6327433628318584,64,0,0,0.0,680.2735785953178,768.0,0.3093645484949833
E2B,concise_cot_self_rank_k3,concise_cot,self_rank,3,2990,1017,0.34013377926421406,0,256,8970,6393,0.7127090301003345,2308,0.7719063545150502,0.25476603119584057,0.6290322580645161,64,2990,220,0.07357859531772576,687.8642140468228,832.0,0.01036789297658863
E2B,condition_reconstruction,condition_reconstruction,majority_vote,1,2990,630,0.21070234113712374,0,128,2990,300,0.10033444816053512,300,0.10033444816053512,0.0,0.2342007434944238,64,0,0,0.0,17.770234113712373,128.0,0.0006688963210702341
E2B,constraint_guard,constraint_guard,majority_vote,1,2990,632,0.21137123745819397,0,128,2990,330,0.11036789297658862,330,0.11036789297658862,0.012121212121212121,0.23609022556390977,64,0,0,0.0,18.72608695652174,128.0,0.00033444816053511704
E2B,counterexample_guard,counterexample_guard,majority_vote,1,2990,674,0.2254180602006689,0,128,2990,453,0.15150501672240801,453,0.15150501672240801,0.0,0.26566811194324,64,0,0,0.0,23.98963210702341,128.0,0.0
E2B,direct_answer,direct_answer,majority_vote,1,2990,754,0.25217391304347825,0,64,2990,399,0.13344481605351172,399,0.13344481605351172,0.010025062656641603,0.28946352759552296,64,0,0,0.0,12.819063545150502,64.0,0.0
E2B,direct_key_condition_refine,direct_answer,key_condition_refine,1,2990,573,0.19163879598662206,0,64,2990,395,0.13210702341137123,915,0.3060200668896321,0.0,0.276144578313253,64,2990,907,0.30334448160535116,35.69899665551839,128.0,0.0
E2B,draft_verify,draft_verify,majority_vote,1,2990,327,0.10936454849498328,0,128,2990,1412,0.47224080267558527,1412,0.47224080267558527,0.000708215297450425,0.20659062103929024,64,0,0,0.0,71.93578595317726,128.0,0.0023411371237458192
E2B,fast_slow_gate,fast_slow_gate,majority_vote,1,2990,251,0.08394648829431438,0,128,2990,1961,0.6558528428093645,1961,0.6558528428093645,0.0,0.24392614188532555,64,0,0,0.0,87.2133779264214,128.0,0.002006688963210702
E2B,least_to_most,least_to_most,majority_vote,1,2990,64,0.02140468227424749,0,256,2990,2912,0.9739130434782609,2912,0.9739130434782609,0.001717032967032967,0.7564102564102564,64,0,0,0.0,254.58595317725752,256.0,0.03076923076923077
E2B,native_format,native_format,majority_vote,1,2990,691,0.23110367892976588,0,96,2990,757,0.25317725752508363,757,0.25317725752508363,0.0,0.30944917151813706,64,0,0,0.0,30.052508361204012,96.0,0.29130434782608694
E2B,negation_label_guard,negation_label_guard,majority_vote,1,2990,388,0.12976588628762542,0,128,2990,1855,0.6204013377926422,1855,0.6204013377926422,0.00215633423180593,0.3383259911894273,64,0,0,0.0,81.70936454849499,128.0,0.004013377926421404
E2B,option_elimination,option_elimination,majority_vote,1,2990,721,0.2411371237458194,0,128,2990,468,0.1565217391304348,468,0.1565217391304348,0.0,0.2858842188739096,64,0,0,0.0,23.715384615384615,128.0,0.0
E2B,plan_and_solve,plan_and_solve,majority_vote,1,2990,126,0.042140468227424746,0,256,2990,2850,0.9531772575250836,2850,0.9531772575250836,0.0017543859649122807,0.8642857142857143,64,0,0,0.0,252.78327759197325,256.0,0.05217391304347826
E2B,plan_and_solve_plus,plan_and_solve_plus,majority_vote,1,2990,43,0.014381270903010033,0,256,2990,2931,0.9802675585284281,2931,0.9802675585284281,0.000682360968952576,0.6949152542372882,64,0,0,0.0,255.06622073578595,256.0,0.02040133779264214
E2B,premise_conclusion,premise_conclusion,majority_vote,1,2990,513,0.17157190635451505,0,256,2990,2198,0.7351170568561873,2198,0.7351170568561873,0.0031847133757961785,0.6388888888888888,64,0,0,0.0,230.7200668896321,256.0,0.2822742474916388
E2B,private_verify,private_verify,majority_vote,1,2990,592,0.1979933110367893,0,128,2990,298,0.09966555183946488,298,0.09966555183946488,0.0,0.2199108469539376,64,0,0,0.0,18.157190635451506,128.0,0.004347826086956522
E2B,rank_two_paths,rank_two_paths,majority_vote,1,2990,647,0.21638795986622072,0,128,2990,238,0.07959866220735785,238,0.07959866220735785,0.004201680672268907,0.23473837209302326,64,0,0,0.0,15.46789297658863,128.0,0.0023411371237458192
E2B,raw,raw,majority_vote,1,2990,52,0.017391304347826087,0,256,2990,2348,0.7852842809364549,2348,0.7852842809364549,0.002129471890971039,0.07320872274143302,64,0,0,0.0,226.37792642140468,256.0,0.0
E2B,selective_verify,selective_verify,majority_vote,1,2990,693,0.2317725752508361,0,128,2990,562,0.1879598662207358,562,0.1879598662207358,0.0,0.2854200988467875,64,0,0,0.0,28.334448160535118,128.0,0.0
E2B,step_back,step_back,majority_vote,1,2990,136,0.04548494983277592,0,256,2990,2797,0.9354515050167224,2797,0.9354515050167224,0.0014301036825169824,0.6839378238341969,64,0,0,0.0,251.89096989966555,256.0,0.06989966555183946
E2B,strict_json,strict_json,majority_vote,1,2990,245,0.08193979933110368,0,96,2990,1752,0.585953177257525,1752,0.585953177257525,0.0,0.19789983844911146,64,0,0,0.0,64.5020066889632,96.0,0.0
E2B,symbolic_proof,symbolic_proof,majority_vote,1,2990,64,0.02140468227424749,0,256,2990,2913,0.974247491638796,2913,0.974247491638796,0.0020597322348094747,0.7532467532467533,64,0,0,0.0,255.08996655518393,256.0,0.029096989966555183
E4B,answer_type_router,answer_type_router,majority_vote,1,2990,822,0.2749163879598662,0,128,2990,108,0.036120401337792644,108,0.036120401337792644,0.0,0.28521859819569745,64,0,0,0.0,9.553846153846154,43.54999999999973,0.01471571906354515
E4B,canonical_short,canonical_short,majority_vote,1,2990,971,0.3247491638795987,0,96,2990,289,0.09665551839464882,289,0.09665551839464882,0.0,0.359496482784154,64,0,0,0.0,13.95752508361204,96.0,0.0013377926421404682
E4B,careful_direct,careful_direct,majority_vote,1,2990,934,0.31237458193979933,0,128,2990,268,0.08963210702341137,268,0.08963210702341137,0.0,0.34313005143277003,64,0,0,0.0,15.845484949832777,128.0,0.0
E4B,chain_of_draft,chain_of_draft,majority_vote,1,2990,879,0.2939799331103679,0,192,2990,1759,0.5882943143812709,1759,0.5882943143812709,0.0011370096645821489,0.7124289195775793,64,0,0,0.0,153.52709030100334,192.0,0.4177257525083612
E4B,compare_then_commit,compare_then_commit,majority_vote,1,2990,949,0.3173913043478261,0,128,2990,216,0.07224080267558529,216,0.07224080267558529,0.0,0.34210526315789475,64,0,0,0.0,13.931103678929766,128.0,0.004013377926421404
E4B,concise_cot,concise_cot,majority_vote,1,2990,731,0.24448160535117056,0,256,2990,1999,0.668561872909699,1999,0.668561872909699,0.0010005002501250625,0.7356205852674067,64,0,0,0.0,220.5030100334448,256.0,0.3468227424749164
E4B,concise_cot_sc_k3,concise_cot,majority_vote,3,2990,763,0.2551839464882943,0,256,8970,6003,0.6692307692307692,2212,0.7397993311036789,0.07866184448462929,0.7570694087403599,64,0,0,0.0,663.1103678929766,768.0,0.35418060200668894
