25/12540 correct=17 acc=0.680
50/12540 correct=36 acc=0.720
75/12540 correct=56 acc=0.747
100/12540 correct=73 acc=0.730
125/12540 correct=90 acc=0.720
150/12540 correct=101 acc=0.673
175/12540 correct=117 acc=0.669
200/12540 correct=131 acc=0.655
225/12540 correct=145 acc=0.644
250/12540 correct=162 acc=0.648
275/12540 correct=179 acc=0.651
300/12540 correct=196 acc=0.653
325/12540 correct=213 acc=0.655
350/12540 correct=229 acc=0.654
375/12540 correct=241 acc=0.643
400/12540 correct=256 acc=0.640
425/12540 correct=272 acc=0.640
450/12540 correct=289 acc=0.642
475/12540 correct=305 acc=0.642
500/12540 correct=320 acc=0.640
525/12540 correct=338 acc=0.644
550/12540 correct=357 acc=0.649
575/12540 correct=371 acc=0.645
600/12540 correct=386 acc=0.643
625/12540 correct=404 acc=0.646
650/12540 correct=423 acc=0.651
675/12540 correct=439 acc=0.650
700/12540 correct=453 acc=0.647
725/12540 correct=465 acc=0.641
750/12540 correct=475 acc=0.633
775/12540 correct=490 acc=0.632
800/12540 correct=507 acc=0.634
825/12540 correct=519 acc=0.629
850/12540 correct=536 acc=0.631
875/12540 correct=550 acc=0.629
900/12540 correct=568 acc=0.631
925/12540 correct=579 acc=0.626
950/12540 correct=582 acc=0.613
975/12540 correct=582 acc=0.597
1000/12540 correct=583 acc=0.583
1025/12540 correct=583 acc=0.569
1050/12540 correct=583 acc=0.555
1075/12540 correct=583 acc=0.542
1100/12540 correct=583 acc=0.530
1125/12540 correct=584 acc=0.519
1150/12540 correct=587 acc=0.510
1175/12540 correct=589 acc=0.501
1200/12540 correct=597 acc=0.497
1225/12540 correct=610 acc=0.498
1250/12540 correct=623 acc=0.498
1275/12540 correct=639 acc=0.501
1300/12540 correct=656 acc=0.505
1325/12540 correct=675 acc=0.509
1350/12540 correct=690 acc=0.511
1375/12540 correct=707 acc=0.514
1400/12540 correct=722 acc=0.516
1425/12540 correct=732 acc=0.514
